SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,Gender,GenderConsistency,Feedback
296714,A23KAJRDVCVGOE,3OLF68YTNANYC8UJTZKWH5OQYIRAFX,3777,5/26/2021 3:10:29 PM,5/26/2021 4:13:26 PM,Approved,7.00,4.83,0.700000,,,,,
296714,A1ROEDVMTO9Y3X,3COPXFW7XCYGFYSZJTTQND5Q508KPP,5610,5/26/2021 3:10:33 PM,5/26/2021 4:44:03 PM,Approved,7.00,5.09,0.700000,,,Female,100.00 %,
296714,A1P2RQ166VS5BT,3R8YZBNQ9I4DKVMU0CJ6JDQE4CU7QX,6559,5/26/2021 3:10:31 PM,5/26/2021 4:59:50 PM,Approved,7.00,5.69,0.700000,,,Female,80.00 %,
296714,A1P0XSCJ9XAV74,3KMS4QQVK3C4OL355QXLBJRM3ULFKH,8676,5/26/2021 3:10:30 PM,5/26/2021 5:35:06 PM,Approved,7.00,5.13,0.700000,,,Female,100.00 %,
296714,APGX2WZ59OWDN,3JZQSN0I3RWZMZ7MFZC6DRZTWD4FGE,11288,5/26/2021 3:10:31 PM,5/26/2021 6:18:39 PM,Approved,7.00,6.41,0.700000,,,,,
296714,A1UZXOMO6BS6I2,3JCG6DTRV4CNQDR9WBSCJ479932QQW,2149,5/26/2021 6:11:55 PM,5/26/2021 6:47:44 PM,Approved,7.00,7.09,0.700000,,,Male,100.00 %,
296714,A1YH2I4Y2SYAXJ,3MB8LZR5BGFQODD1R10J6WW60Q7KLR,18378,5/26/2021 3:10:30 PM,5/26/2021 8:16:48 PM,Approved,7.00,6.26,0.700000,,,,,
296714,A1IFIK8J49WBER,354P56DE9LPPXB17SG8BED5FM0F7SM,20836,5/26/2021 3:10:31 PM,5/26/2021 8:57:47 PM,Approved,7.00,5.30,0.700000,,,Female,100.00 %,
296714,AOAZMLP27GD81,37FMASSAYDDN59110LQDFDLOWS4IBR,22802,5/26/2021 3:10:30 PM,5/26/2021 9:30:32 PM,Approved,7.00,7.07,0.700000,,,,,
296714,A3QSFE6GKO157S,378XPAWRUDZIMZW9U7QHK21IEAJIAW,28504,5/26/2021 3:10:30 PM,5/26/2021 11:05:34 PM,Approved,7.00,6.81,0.700000,,,Male,100.00 %,
296714,ARYL3C6N9SVV1,323Q6SJS8J2DMV2XZ5UOYRBUBDHFHD,34122,5/26/2021 3:10:33 PM,5/27/2021 12:39:15 AM,Approved,7.00,6.17,0.700000,,,Male,100.00 %,
296714,A3QRZPJT2CT2IK,3PZDLQMM0U724TF5PI1G3HKPPH72C7,34189,5/26/2021 3:10:29 PM,5/27/2021 12:40:18 AM,Approved,7.00,6.80,0.700000,,,Female,100.00 %,
296714,A16Z9FSSF1X74O,3T3IWE1XG790ITJ1DFM7O9IWTBJTQX,3104,5/27/2021 2:13:18 AM,5/27/2021 3:05:02 AM,Approved,7.00,5.20,0.700000,,,Female,100.00 %,
296714,A2BK45LZGGWPLX,37XITHEISXVJ8DWQ48GH4PSX19NCRW,47267,5/26/2021 3:10:29 PM,5/27/2021 4:18:16 AM,Approved,7.00,7.07,0.700000,,,Female,100.00 %,
296714,A1945USNZHTROX,35LDD5557BQAUVVMRD1Y69BV0VXKMT,130488,5/26/2021 3:10:30 PM,5/28/2021 3:25:18 AM,Approved,7.00,6.48,0.700000,,,Male,100.00 %,
296714,A13WTEQ06V3B6D,3FPRZHYEPZTNOKHOKZAQCJD6G2QV3D,168610,5/26/2021 3:48:59 PM,5/28/2021 2:39:09 PM,Approved,7.00,5.70,0.700000,,,Male,100.00 %,
296714,APDDA1Y59RHV9,3DI28L7YXB0AC6HN257XOMANIU3E16,3939,5/28/2021 2:05:07 PM,5/28/2021 3:10:46 PM,Approved,7.00,5.50,0.700000,,,Female,100.00 %,
296714,A38I0E8UK53ME5,3FQ5JJ512MAGCDGM3EGYJO0V5L7KNT,1936,5/28/2021 3:13:10 PM,5/28/2021 3:45:26 PM,Approved,7.00,6.19,0.700000,,,Female,100.00 %,
296714,A37QSTGGV90MFH,3HFNH7HEMI0WDOXVTFN0PQ373MGQG0,14885,5/28/2021 3:11:25 PM,5/28/2021 7:19:30 PM,Approved,7.00,5.00,0.700000,,,Male,100.00 %,
296714,A3862RIFFUV141,3MHW492WW1ZOA6PYQHF58IMCG5XMVY,160855,5/30/2021 1:31:58 PM,6/1/2021 10:12:53 AM,Approved,7.00,6.00,0.700000,,,,,
