"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"20593.185000005178","consent.html","external-html","0","20640","0.0-0.0","","","","","","","","","",""
"42671.6599999927","","instructions","1","63315","0.0-1.0","[{""page_index"":0,""viewing_time"":1355.0800000084564},{""page_index"":1,""viewing_time"":11315.754999988712},{""page_index"":2,""viewing_time"":2898.0800000135787},{""page_index"":3,""viewing_time"":10996.61499998183},{""page_index"":4,""viewing_time"":5947.750000021188},{""page_index"":5,""viewing_time"":2468.989999993937},{""page_index"":6,""viewing_time"":1633.2799999800045},{""page_index"":5,""viewing_time"":2292.220000002999},{""page_index"":6,""viewing_time"":3761.625000013737}]","","","","","","","","",""
"977.7600000088569","","image-keyboard-response","2","64297","0.0-2.0-0.0","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","3","65299","0.0-2.0-1.0","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","4","66302","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"552.045000018552","","image-keyboard-response","5","66855","0.0-2.0-0.1","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","6","67856","0.0-2.0-1.1","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","68857","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"840.9899999969639","","image-keyboard-response","8","69698","0.0-2.0-0.2","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","9","70700","0.0-2.0-1.2","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","71701","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"333.0149999819696","","image-keyboard-response","11","72036","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","73039","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","74040","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","75541","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","76543","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","77544","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"539.6900000050664","","image-keyboard-response","17","78084","0.0-2.0-0.5","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","18","79085","0.0-2.0-1.5","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","80086","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1157.2900000028312","","image-keyboard-response","20","81246","0.0-2.0-0.6","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","21","82248","0.0-2.0-1.6","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","83251","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"402.250000013737","","image-keyboard-response","23","83653","0.0-2.0-0.7","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","24","84655","0.0-2.0-1.7","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","25","85656","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"369.88499999279156","","image-keyboard-response","26","86026","0.0-2.0-0.8","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","27","87029","0.0-2.0-1.8","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","28","88030","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"563.4800000116229","","image-keyboard-response","29","88594","0.0-2.0-0.9","","img/test1.PNG","32","practice","32","true","","","",""
