"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"6618.569999933243","consent.html","external-html","0","6703","0.0-0.0","","","","","","","","","",""
"73558.3100002259","","instructions","1","80263","0.0-1.0","[{""page_index"":0,""viewing_time"":3500.63499994576},{""page_index"":1,""viewing_time"":9371.805000118911},{""page_index"":2,""viewing_time"":5251.070000231266},{""page_index"":3,""viewing_time"":4476.005000062287},{""page_index"":4,""viewing_time"":7018.960000015795},{""page_index"":5,""viewing_time"":23986.929999664426},{""page_index"":6,""viewing_time"":19952.02000020072}]","","","","","","","","",""
"null","","image-keyboard-response","2","81765","0.0-2.0-0.0","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","82767","0.0-2.0-1.0","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","83768","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","85269","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","86272","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","87274","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","88776","0.0-2.0-0.2","","img/test1.PNG","null","practice","32","false","","","",""
"null","","html-keyboard-response","9","89777","0.0-2.0-1.2","","<img src=""img/test1-neutral.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","90779","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","92281","0.0-2.0-0.3","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","93283","0.0-2.0-1.3","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","94284","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","95786","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","96788","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","97790","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"784.9949998781085","","image-keyboard-response","17","98576","0.0-2.0-0.5","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","18","99579","0.0-2.0-1.5","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","100580","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","102083","0.0-2.0-0.6","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","103084","0.0-2.0-1.6","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","22","104086","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","105589","0.0-2.0-0.7","","img/test1.PNG","null","practice","32","false","","","",""
"null","","html-keyboard-response","24","106591","0.0-2.0-1.7","","<img src=""img/test1-neutral.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","107593","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","109096","0.0-2.0-0.8","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","110098","0.0-2.0-1.8","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","111100","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"388.1099997088313","","image-keyboard-response","29","111489","0.0-2.0-0.9","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","30","112492","0.0-2.0-1.9","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","31","113494","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","32","114996","0.0-2.0-0.10","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","33","115997","0.0-2.0-1.10","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","34","116998","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","35","118499","0.0-2.0-0.11","","img/test1.PNG","null","practice","32","false","","","",""
"null","","html-keyboard-response","36","119501","0.0-2.0-1.11","","<img src=""img/test1-neutral.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","37","120503","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"2048.369999974966","","instructions","38","122551","0.0-3.0","[{""page_index"":0,""viewing_time"":2048.1349998153746}]","","","","","","","","",""
"null","","image-keyboard-response","39","124053","0.0-4.0-0.0","","img/grey.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","40","125055","0.0-4.0-1.0","","<img src=""img/grey-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","41","126056","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"418.16499968990684","","image-keyboard-response","42","126475","0.0-4.0-0.1","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","43","127477","0.0-4.0-1.1","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","44","128478","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"477.2450001910329","","image-keyboard-response","45","128956","0.0-4.0-0.2","","img/grey.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","129961","0.0-4.0-1.2","","<img src=""img/grey-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","47","130962","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
