"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"19648.600000014994","consent.html","external-html","0","19795","0.0-0.0","","","","","","","","","",""
"153315.74499999988","","instructions","1","173115","0.0-1.0","[{""page_index"":0,""viewing_time"":4010.8450000116136},{""page_index"":1,""viewing_time"":93232.12000000058},{""page_index"":2,""viewing_time"":4914.92000001017},{""page_index"":3,""viewing_time"":18178.569999989122},{""page_index"":4,""viewing_time"":10066.690000006929},{""page_index"":5,""viewing_time"":7097.064999979921},{""page_index"":6,""viewing_time"":15812.845000007655}]","","","","","","","","",""
"483.5449999955017","","image-keyboard-response","2","173603","0.0-2.0-0.0","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","3","174616","0.0-2.0-1.0","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","4","175628","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","177146","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","178162","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","179164","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","180681","0.0-2.0-0.2","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","181683","0.0-2.0-1.2","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","182685","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"576.6350000048988","","image-keyboard-response","11","183264","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","184277","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","185293","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","186810","0.0-2.0-0.4","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","187826","0.0-2.0-1.4","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","188833","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","190350","0.0-2.0-0.5","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","191360","0.0-2.0-1.5","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","192376","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","193885","0.0-2.0-0.6","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","194892","0.0-2.0-1.6","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","22","195908","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"418.41500002192333","","image-keyboard-response","23","196329","0.0-2.0-0.7","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","24","197342","0.0-2.0-1.7","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","25","198353","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","199856","0.0-2.0-0.8","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","200865","0.0-2.0-1.8","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","201879","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","29","203397","0.0-2.0-0.9","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","30","204414","0.0-2.0-1.9","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","31","205421","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"462.230000004638","","image-keyboard-response","32","205886","0.0-2.0-0.10","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","33","206899","0.0-2.0-1.10","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","34","207911","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","35","209428","0.0-2.0-0.11","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","36","210444","0.0-2.0-1.11","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","37","211459","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"2917.6649999863002","","instructions","38","214377","0.0-3.0","[{""page_index"":0,""viewing_time"":2917.0949999825098}]","","","","","","","","",""
"946.6300000203773","","image-keyboard-response","39","215328","0.0-4.0-0.0","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","40","216332","0.0-4.0-1.0","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","41","217338","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"723.7500000046566","","image-keyboard-response","42","218064","0.0-4.0-0.1","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","43","219083","0.0-4.0-1.1","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","44","220100","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","221615","0.0-4.0-0.2","","img/yellow.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","222628","0.0-4.0-1.2","","<img src=""img/yellow-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","47","223650","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"696.9500000122935","","image-keyboard-response","48","224349","0.0-4.0-0.3","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","225361","0.0-4.0-1.3","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","50","226369","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"964.0350000117905","","image-keyboard-response","51","227335","0.0-4.0-0.4","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","52","228347","0.0-4.0-1.4","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","53","229359","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"602.6350000174716","","image-keyboard-response","54","229964","0.0-4.0-0.5","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","55","230968","0.0-4.0-1.5","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","56","231984","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","57","233490","0.0-4.0-0.6","","img/yellow.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","234507","0.0-4.0-1.6","","<img src=""img/yellow-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","59","235517","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"640.8550000051036","","image-keyboard-response","60","236160","0.0-4.0-0.7","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","237166","0.0-4.0-1.7","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","62","238178","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"624.9899999820627","","image-keyboard-response","63","238805","0.0-4.0-0.8","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","64","239808","0.0-4.0-1.8","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","65","240825","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"863.309999986086","","image-keyboard-response","66","241690","0.0-4.0-0.9","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","67","242704","0.0-4.0-1.9","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","68","243718","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"864.2399999953341","","image-keyboard-response","69","244584","0.0-4.0-0.10","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","70","245603","0.0-4.0-1.10","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","71","246605","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","72","248121","0.0-4.0-0.11","","img/yellow.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","73","249126","0.0-4.0-1.11","","<img src=""img/yellow-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","74","250141","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"440.6449999951292","","image-keyboard-response","75","250583","0.0-4.0-0.12","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","76","251600","0.0-4.0-1.12","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","77","252612","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"585.4500000132248","","image-keyboard-response","78","253199","0.0-4.0-0.13","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","79","254211","0.0-4.0-1.13","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","80","255222","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"658.2800000032876","","image-keyboard-response","81","255881","0.0-4.0-0.14","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","256885","0.0-4.0-1.14","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","83","257900","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"636.0899999854155","","image-keyboard-response","84","258537","0.0-4.0-0.15","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","259541","0.0-4.0-1.15","","<img src=""img/yellow-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","86","260547","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"755.5949999950826","","image-keyboard-response","87","261304","0.0-4.0-0.16","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","88","262309","0.0-4.0-1.16","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","89","263325","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"795.2749999822117","","image-keyboard-response","90","264121","0.0-4.0-0.17","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","91","265137","0.0-4.0-1.17","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","92","266151","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1097.1600000048056","","image-keyboard-response","93","267249","0.0-4.0-0.18","","img/yellow.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","94","268258","0.0-4.0-1.18","","<img src=""img/yellow-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","95","269265","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"647.2549999889452","","image-keyboard-response","96","269913","0.0-4.0-0.19","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","97","270925","0.0-4.0-1.19","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","98","271940","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"890.2250000101048","","image-keyboard-response","99","272832","0.0-4.0-0.20","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
