"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"20781.86000000096","consent.html","external-html","0","20871","0.0-0.0","","","","","","","","","",""
"85697.29000000007","","instructions","1","106569","0.0-1.0","[{""page_index"":0,""viewing_time"":4433.575000000928},{""page_index"":1,""viewing_time"":22047.08000000028},{""page_index"":2,""viewing_time"":7928.1299999984185},{""page_index"":3,""viewing_time"":23435.33000000025},{""page_index"":4,""viewing_time"":9293.50499999964},{""page_index"":5,""viewing_time"":5921.885000001566},{""page_index"":6,""viewing_time"":12637.29499999863}]","","","","","","","","",""
"null","","image-keyboard-response","2","108071","0.0-2.0-0.0","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","109072","0.0-2.0-1.0","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","110073","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","111574","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","112575","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","113576","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"489.93500000142376","","image-keyboard-response","8","114067","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","115068","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","116069","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"506.89000000056694","","image-keyboard-response","11","116576","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","117577","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","118578","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","120079","0.0-2.0-0.4","","img/test2.PNG","null","practice","null","true","","","",""
