"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"25060.735000000932","consent.html","external-html","0","25269","0.0-0.0","","","","","","","","","",""
"31418.884999999136","","instructions","1","56688","0.0-1.0","[{""page_index"":0,""viewing_time"":2797.5399999995716},{""page_index"":1,""viewing_time"":8544.739999999365},{""page_index"":2,""viewing_time"":5217.094999999972},{""page_index"":3,""viewing_time"":3551.935000001322},{""page_index"":4,""viewing_time"":3416.8099999988044},{""page_index"":5,""viewing_time"":3592.1350000007806},{""page_index"":6,""viewing_time"":4297.795000000406}]","","","","","","","","",""
"null","","image-keyboard-response","2","58190","0.0-2.0-0.0","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","59198","0.0-2.0-1.0","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","60199","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"454.29499999954714","","image-keyboard-response","5","60655","0.0-2.0-0.1","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","6","61656","0.0-2.0-1.1","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","62662","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1144.2600000009406","","image-keyboard-response","8","63808","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","64823","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","65829","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"313.720000000103","","image-keyboard-response","11","66144","0.0-2.0-0.3","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","12","67153","0.0-2.0-1.3","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","68157","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","69660","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","70662","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","71669","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1224.0999999994528","","image-keyboard-response","17","72895","0.0-2.0-0.5","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","18","73904","0.0-2.0-1.5","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","74920","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"773.1800000001385","","image-keyboard-response","20","75695","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","76709","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","77710","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"446.6899999988527","","image-keyboard-response","23","78158","0.0-2.0-0.7","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","24","79173","0.0-2.0-1.7","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","25","80179","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"533.980000000156","","image-keyboard-response","26","80714","0.0-2.0-0.8","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","27","81728","0.0-2.0-1.8","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","28","82730","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"839.6450000000186","","image-keyboard-response","29","83570","0.0-2.0-0.9","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","30","84576","0.0-2.0-1.9","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","31","85589","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"723.8200000010693","","image-keyboard-response","32","86315","0.0-2.0-0.10","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","33","87331","0.0-2.0-1.10","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","34","88333","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","35","89848","0.0-2.0-0.11","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","36","90853","0.0-2.0-1.11","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","37","91869","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"74929.25500000092","","instructions","38","166800","0.0-3.0","[{""page_index"":0,""viewing_time"":74929.04500000075}]","","","","","","","","",""
"924.6499999990338","","image-keyboard-response","39","167726","0.0-4.0-0.0","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","40","168728","0.0-4.0-1.0","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","41","169740","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"830.0499999986496","","image-keyboard-response","42","170576","0.0-4.0-0.1","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","43","171592","0.0-4.0-1.1","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","44","172608","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","174109","0.0-4.0-0.2","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","175120","0.0-4.0-1.2","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","47","176137","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","48","177649","0.0-4.0-0.3","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","178652","0.0-4.0-1.3","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","50","179662","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","51","181163","0.0-4.0-0.4","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","52","182169","0.0-4.0-1.4","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","53","183171","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","54","184684","0.0-4.0-0.5","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","55","185696","0.0-4.0-1.5","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","56","186701","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","57","188204","0.0-4.0-0.6","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","58","189352","0.0-4.0-1.6","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","59","190366","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1442.4199999994016","","image-keyboard-response","60","191809","0.0-4.0-0.7","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","61","192819","0.0-4.0-1.7","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","62","193836","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","63","195358","0.0-4.0-0.8","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","64","197353","0.0-4.0-1.8","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","65","199354","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","66","201360","0.0-4.0-0.9","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","67","203356","0.0-4.0-1.9","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","68","205366","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","69","206878","0.0-4.0-0.10","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","70","207888","0.0-4.0-1.10","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","71","208889","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","72","210394","0.0-4.0-0.11","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","73","211410","0.0-4.0-1.11","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","74","212426","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"466.54500000111875","","image-keyboard-response","75","212893","0.0-4.0-0.12","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","76","213911","0.0-4.0-1.12","","<img src=""img/orange-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","77","214912","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","78","216427","0.0-4.0-0.13","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","79","217438","0.0-4.0-1.13","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","80","218440","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","81","219951","0.0-4.0-0.14","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","220953","0.0-4.0-1.14","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","83","221954","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"737.860000001092","","image-keyboard-response","84","222693","0.0-4.0-0.15","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","223700","0.0-4.0-1.15","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","86","224702","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","87","226204","0.0-4.0-0.16","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","88","227216","0.0-4.0-1.16","","<img src=""img/grey-r.png"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","89","228227","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"545.5799999999581","","image-keyboard-response","90","228773","0.0-4.0-0.17","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","91","229776","0.0-4.0-1.17","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","92","230792","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","93","232298","0.0-4.0-0.18","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","94","233306","0.0-4.0-1.18","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","95","234307","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","96","235809","0.0-4.0-0.19","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","97","236817","0.0-4.0-1.19","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","98","237829","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"987.1000000002678","","image-keyboard-response","99","238817","0.0-4.0-0.20","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","100","239825","0.0-4.0-1.20","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","101","240836","0.0-4.0-2.20","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","102","242344","0.0-4.0-0.21","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","103","243355","0.0-4.0-1.21","","<img src=""img/grey-r.png"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","104","244371","0.0-4.0-2.21","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
