"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"8295.679999999265","consent.html","external-html","0","8565","0.0-0.0","","","","","","","","","",""
"103629.57000000097","","instructions","1","112196","0.0-1.0","[{""page_index"":0,""viewing_time"":5829.050000000279},{""page_index"":1,""viewing_time"":26093.95500000028},{""page_index"":2,""viewing_time"":8180.919999998878},{""page_index"":3,""viewing_time"":24041.024999998626},{""page_index"":4,""viewing_time"":13690.085000002},{""page_index"":5,""viewing_time"":9129.85000000117},{""page_index"":6,""viewing_time"":16664.05499999746}]","","","","","","","","",""
"null","","image-keyboard-response","2","113698","0.0-2.0-0.0","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","114700","0.0-2.0-1.0","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","115701","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"746.6150000000198","","image-keyboard-response","5","116449","0.0-2.0-0.1","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","6","117450","0.0-2.0-1.1","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","118452","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","119953","0.0-2.0-0.2","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","120957","0.0-2.0-1.2","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","121960","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","123461","0.0-2.0-0.3","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","124462","0.0-2.0-1.3","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","125463","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"539.440000000468","","image-keyboard-response","14","126003","0.0-2.0-0.4","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","15","127021","0.0-2.0-1.4","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","16","128025","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","129526","0.0-2.0-0.5","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","130528","0.0-2.0-1.5","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","131529","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"665.2899999971851","","image-keyboard-response","20","132195","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","133217","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","134217","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","135719","0.0-2.0-0.7","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","24","136722","0.0-2.0-1.7","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","137723","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","139224","0.0-2.0-0.8","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","140226","0.0-2.0-1.8","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","141228","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","29","142730","0.0-2.0-0.9","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","30","143731","0.0-2.0-1.9","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","31","144732","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","32","146234","0.0-2.0-0.10","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","33","147235","0.0-2.0-1.10","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","34","148236","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"590.1800000028743","","image-keyboard-response","35","148827","0.0-2.0-0.11","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","36","149829","0.0-2.0-1.11","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","37","150830","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"3962.940000001254","","instructions","38","154793","0.0-3.0","[{""page_index"":0,""viewing_time"":3962.7700000019104}]","","","","","","","","",""
"null","","image-keyboard-response","39","156310","0.0-4.0-0.0","","img/purple.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","40","157312","0.0-4.0-1.0","","<img src=""img/purple-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","41","158313","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1009.4849999986764","","image-keyboard-response","42","159323","0.0-4.0-0.1","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","43","160325","0.0-4.0-1.1","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","44","161327","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","162829","0.0-4.0-0.2","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","163831","0.0-4.0-1.2","","<img src=""img/green-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","47","164832","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","48","166333","0.0-4.0-0.3","","img/purple.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","167335","0.0-4.0-1.3","","<img src=""img/purple-r.png"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","50","168336","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","51","169838","0.0-4.0-0.4","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","52","170839","0.0-4.0-1.4","","<img src=""img/green-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","53","171842","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"888.6999999995169","","image-keyboard-response","54","172731","0.0-4.0-0.5","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","55","173734","0.0-4.0-1.5","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","56","174735","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","57","176236","0.0-4.0-0.6","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","177246","0.0-4.0-1.6","","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","59","178248","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"602.7199999989534","","image-keyboard-response","60","178851","0.0-4.0-0.7","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","179854","0.0-4.0-1.7","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","62","180859","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"966.1450000021432","","image-keyboard-response","63","181827","0.0-4.0-0.8","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","64","182830","0.0-4.0-1.8","","<img src=""img/green-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","65","183832","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"786.5899999997055","","image-keyboard-response","66","184619","0.0-4.0-0.9","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","67","185621","0.0-4.0-1.9","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","68","186622","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"691.8400000031397","","image-keyboard-response","69","187315","0.0-4.0-0.10","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","70","188317","0.0-4.0-1.10","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","71","189320","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"905.4900000010093","","image-keyboard-response","72","190227","0.0-4.0-0.11","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","73","191229","0.0-4.0-1.11","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","74","192230","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","75","193732","0.0-4.0-0.12","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","76","194735","0.0-4.0-1.12","","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","77","195735","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"651.1150000005728","","image-keyboard-response","78","196387","0.0-4.0-0.13","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","79","197390","0.0-4.0-1.13","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","80","198391","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"643.0949999994482","","image-keyboard-response","81","199035","0.0-4.0-0.14","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","200038","0.0-4.0-1.14","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","83","201040","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"806.7800000026182","","image-keyboard-response","84","201848","0.0-4.0-0.15","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","202853","0.0-4.0-1.15","","<img src=""img/green-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","86","203870","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"666.6899999981979","","image-keyboard-response","87","204539","0.0-4.0-0.16","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","88","205541","0.0-4.0-1.16","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","89","206542","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"644.3949999993492","","image-keyboard-response","90","207188","0.0-4.0-0.17","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","91","208190","0.0-4.0-1.17","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","92","209195","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"734.8950000014156","","image-keyboard-response","93","209931","0.0-4.0-0.18","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","94","210949","0.0-4.0-1.18","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","95","211950","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"515.5950000007579","","image-keyboard-response","96","212467","0.0-4.0-0.19","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","97","213468","0.0-4.0-1.19","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","98","214469","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"662.1150000028138","","image-keyboard-response","99","215132","0.0-4.0-0.20","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","100","216134","0.0-4.0-1.20","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","101","217135","0.0-4.0-2.20","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"858.7600000028033","","image-keyboard-response","102","217995","0.0-4.0-0.21","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","103","218998","0.0-4.0-1.21","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","104","219999","0.0-4.0-2.21","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"498.86500000138767","","image-keyboard-response","105","220499","0.0-4.0-0.22","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","106","221500","0.0-4.0-1.22","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","107","222502","0.0-4.0-2.22","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"660.6399999982386","","image-keyboard-response","108","223164","0.0-4.0-0.23","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","109","224166","0.0-4.0-1.23","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","110","225168","0.0-4.0-2.23","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"656.0399999980291","","image-keyboard-response","111","225827","0.0-4.0-0.24","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","112","226830","0.0-4.0-1.24","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","113","227831","0.0-4.0-2.24","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"859.5300000015413","","image-keyboard-response","114","228691","0.0-4.0-0.25","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","115","229692","0.0-4.0-1.25","","<img src=""img/green-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
