"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"13669.174999988172","consent.html","external-html","0","13860","0.0-0.0","","","","","","","","","",""
"82055.77500001527","","instructions","1","95920","0.0-1.0","[{""page_index"":0,""viewing_time"":3597.5650000036694},{""page_index"":1,""viewing_time"":18393.679999979213},{""page_index"":2,""viewing_time"":6617.765000031795},{""page_index"":3,""viewing_time"":25883.394999953452},{""page_index"":4,""viewing_time"":12145.095000043511},{""page_index"":5,""viewing_time"":6176.110000000335},{""page_index"":6,""viewing_time"":9240.999999979977}]","","","","","","","","",""
"null","","image-keyboard-response","2","97429","0.0-2.0-0.0","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","98433","0.0-2.0-1.0","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","99436","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","100948","0.0-2.0-0.1","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","101954","0.0-2.0-1.1","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","102959","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"349.8249999829568","","image-keyboard-response","8","103310","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","104316","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","105321","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","106822","0.0-2.0-0.3","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","107836","0.0-2.0-1.3","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","108840","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","110355","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","111373","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","112378","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
