"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"13772.044999990612","consent.html","external-html","0","13922","0.0-0.0","","","","","","","","","",""
"98791.67999999481","","instructions","1","112719","0.0-1.0","[{""page_index"":0,""viewing_time"":2915.789999999106},{""page_index"":1,""viewing_time"":23786.209999991115},{""page_index"":2,""viewing_time"":6521.220000024186},{""page_index"":3,""viewing_time"":22355.569999985164},{""page_index"":4,""viewing_time"":11333.140000002459},{""page_index"":5,""viewing_time"":25134.554999996908},{""page_index"":6,""viewing_time"":6744.180000008782}]","","","","","","","","",""
"825.9700000053272","","image-keyboard-response","2","113547","0.0-2.0-0.0","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","3","114551","0.0-2.0-1.0","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","4","115554","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","117058","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","118061","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","119063","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"850.7399999944028","","image-keyboard-response","8","119916","0.0-2.0-0.2","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","9","120919","0.0-2.0-1.2","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","121922","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"576.7200000118464","","image-keyboard-response","11","122500","0.0-2.0-0.3","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","12","123507","0.0-2.0-1.3","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","124513","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"475.6749999942258","","image-keyboard-response","14","124990","0.0-2.0-0.4","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","15","125996","0.0-2.0-1.4","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","16","127001","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","128508","0.0-2.0-0.5","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","129514","0.0-2.0-1.5","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","130519","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"401.09500000835396","","image-keyboard-response","20","130922","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","131927","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","132930","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"383.5749999852851","","image-keyboard-response","23","133315","0.0-2.0-0.7","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","24","134319","0.0-2.0-1.7","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","25","135321","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"632.660000002943","","image-keyboard-response","26","135955","0.0-2.0-0.8","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","27","136962","0.0-2.0-1.8","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","28","137967","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"861.8149999820162","","image-keyboard-response","29","138830","0.0-2.0-0.9","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","30","139834","0.0-2.0-1.9","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","31","140837","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"732.2350000031292","","image-keyboard-response","32","141571","0.0-2.0-0.10","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","33","142576","0.0-2.0-1.10","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","34","143579","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"388.47000000532717","","image-keyboard-response","35","143968","0.0-2.0-0.11","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","36","144975","0.0-2.0-1.11","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","37","145976","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"12349.130000016885","","instructions","38","158326","0.0-3.0","[{""page_index"":0,""viewing_time"":12348.840000020573}]","","","","","","","","",""
"1113.020000018878","","image-keyboard-response","39","159441","0.0-4.0-0.0","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","40","160444","0.0-4.0-1.0","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","41","161450","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"619.4599999871571","","image-keyboard-response","42","162071","0.0-4.0-0.1","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","43","163077","0.0-4.0-1.1","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","44","164078","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"475.6350000097882","","image-keyboard-response","45","164555","0.0-4.0-0.2","","img/green.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","165563","0.0-4.0-1.2","","<img src=""img/green-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","47","166567","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"344.75999997812323","","image-keyboard-response","48","166913","0.0-4.0-0.3","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","167920","0.0-4.0-1.3","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","50","168925","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","51","170429","0.0-4.0-0.4","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","52","171432","0.0-4.0-1.4","","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","53","172437","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"750.1150000025518","","image-keyboard-response","54","173189","0.0-4.0-0.5","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","55","174195","0.0-4.0-1.5","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","56","175197","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"509.00000002002344","","image-keyboard-response","57","175708","0.0-4.0-0.6","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","58","176712","0.0-4.0-1.6","","<img src=""img/orange-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","59","177718","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","60","179223","0.0-4.0-0.7","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","61","180230","0.0-4.0-1.7","","<img src=""img/green-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","62","181235","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","63","182739","0.0-4.0-0.8","","img/green.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","64","183741","0.0-4.0-1.8","","<img src=""img/green-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","65","184747","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"441.5699999954086","","image-keyboard-response","66","185190","0.0-4.0-0.9","","img/orange.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","67","186195","0.0-4.0-1.9","","<img src=""img/orange-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
