"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"2928.300000011921","consent.html","external-html","0","3032","0.0-0.0","","","","","","","","","",""
"74725.89999997616","","instructions","1","77759","0.0-1.0","[{""page_index"":0,""viewing_time"":3213.199999988079},{""page_index"":1,""viewing_time"":17026.100000023842},{""page_index"":2,""viewing_time"":5614},{""page_index"":3,""viewing_time"":17997.899999976158},{""page_index"":4,""viewing_time"":18618},{""page_index"":5,""viewing_time"":6021.100000023842},{""page_index"":6,""viewing_time"":6235}]","","","","","","","","",""
"444.89999997615814","","image-keyboard-response","2","78205","0.0-2.0-0.0","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","3","79215","0.0-2.0-1.0","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","4","80220","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"545","","image-keyboard-response","5","80766","0.0-2.0-0.1","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","6","81782","0.0-2.0-1.1","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","82787","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"339.39999997615814","","image-keyboard-response","8","83127","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","84134","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","85140","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"538","","image-keyboard-response","11","85679","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","86689","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","87694","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","89209","0.0-2.0-0.4","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","90215","0.0-2.0-1.4","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","91220","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1024.8999999761581","","image-keyboard-response","17","92246","0.0-2.0-0.5","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","18","93262","0.0-2.0-1.5","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","94267","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"431","","image-keyboard-response","20","94699","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","95707","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","96713","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"365.80000001192093","","image-keyboard-response","23","97079","0.0-2.0-0.7","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","24","98089","0.0-2.0-1.7","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","25","99095","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","100609","0.0-2.0-0.8","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","101616","0.0-2.0-1.8","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","102623","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"574.1000000238419","","image-keyboard-response","29","103197","0.0-2.0-0.9","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","30","104200","0.0-2.0-1.9","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","31","105206","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"701.5","","image-keyboard-response","32","105908","0.0-2.0-0.10","","img/test2.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","33","106923","0.0-2.0-1.10","","<img src=""img/test2-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","34","107928","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"355.69999998807907","","image-keyboard-response","35","108285","0.0-2.0-0.11","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","36","109291","0.0-2.0-1.11","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","37","110295","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1849.6000000238419","","instructions","38","112145","0.0-3.0","[{""page_index"":0,""viewing_time"":1849.5}]","","","","","","","","",""
"521.3000000119209","","image-keyboard-response","39","112667","0.0-4.0-0.0","","img/red.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","40","113670","0.0-4.0-1.0","","<img src=""img/red-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","41","114676","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"338.2999999523163","","image-keyboard-response","42","115015","0.0-4.0-0.1","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","43","116022","0.0-4.0-1.1","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","44","117028","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"323.39999997615814","","image-keyboard-response","45","117352","0.0-4.0-0.2","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","46","118359","0.0-4.0-1.2","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","47","119365","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","48","120880","0.0-4.0-0.3","","img/red.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","49","121886","0.0-4.0-1.3","","<img src=""img/red-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","50","122894","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"398.69999998807907","","image-keyboard-response","51","123293","0.0-4.0-0.4","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","52","124303","0.0-4.0-1.4","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","53","125308","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","54","126811","0.0-4.0-0.5","","img/red.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","55","127816","0.0-4.0-1.5","","<img src=""img/red-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","56","128822","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"539.9000000357628","","image-keyboard-response","57","129362","0.0-4.0-0.6","","img/red.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","130367","0.0-4.0-1.6","","<img src=""img/red-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","59","131372","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"850.1000000238419","","image-keyboard-response","60","132223","0.0-4.0-0.7","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","133229","0.0-4.0-1.7","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","62","134235","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
