"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"88262.30000000075","consent.html","external-html","0","88338","0.0-0.0","","","","","","","","","",""
"130229","","instructions","1","218568","0.0-1.0","[{""page_index"":0,""viewing_time"":7003.699999999255},{""page_index"":1,""viewing_time"":26056.10000000149},{""page_index"":2,""viewing_time"":11680},{""page_index"":3,""viewing_time"":32448},{""page_index"":4,""viewing_time"":19143.89999999851},{""page_index"":5,""viewing_time"":12160.10000000149},{""page_index"":6,""viewing_time"":21736}]","","","","","","","","",""
"null","","image-keyboard-response","2","220070","0.0-2.0-0.0","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","221072","0.0-2.0-1.0","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","222073","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"348.69999999925494","","image-keyboard-response","5","222423","0.0-2.0-0.1","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","6","223424","0.0-2.0-1.1","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","224425","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","225926","0.0-2.0-0.2","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","226927","0.0-2.0-1.2","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","227928","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"388.80000000074506","","image-keyboard-response","11","228318","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","229319","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","230320","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","231821","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","232822","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","233822","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","235324","0.0-2.0-0.5","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","236326","0.0-2.0-1.5","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","237326","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"487.0999999977648","","image-keyboard-response","20","237815","0.0-2.0-0.6","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","21","238816","0.0-2.0-1.6","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","22","239817","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","241318","0.0-2.0-0.7","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","24","242319","0.0-2.0-1.7","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","243320","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","26","244821","0.0-2.0-0.8","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","27","245822","0.0-2.0-1.8","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","28","246823","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","29","248324","0.0-2.0-0.9","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","30","249325","0.0-2.0-1.9","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","31","250326","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"639.8999999985099","","image-keyboard-response","32","250967","0.0-2.0-0.10","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","33","251968","0.0-2.0-1.10","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","34","252968","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","35","254470","0.0-2.0-0.11","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","36","255471","0.0-2.0-1.11","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","37","256472","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"12463.39999999851","","instructions","38","268935","0.0-3.0","[{""page_index"":0,""viewing_time"":12463.099999997765}]","","","","","","","","",""
"null","","image-keyboard-response","39","270438","0.0-4.0-0.0","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","40","271440","0.0-4.0-1.0","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","41","272441","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","42","273942","0.0-4.0-0.1","","img/purple.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","43","274943","0.0-4.0-1.1","","<img src=""img/purple-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","44","275944","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","277445","0.0-4.0-0.2","","img/purple.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","46","278446","0.0-4.0-1.2","","<img src=""img/purple-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","47","279447","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"1366.300000000745","","image-keyboard-response","48","280815","0.0-4.0-0.3","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","49","281816","0.0-4.0-1.3","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","50","282817","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","51","284318","0.0-4.0-0.4","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","52","285319","0.0-4.0-1.4","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","53","286320","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"773.3000000007451","","image-keyboard-response","54","287094","0.0-4.0-0.5","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","55","288096","0.0-4.0-1.5","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","56","289097","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"604.3000000007451","","image-keyboard-response","57","289702","0.0-4.0-0.6","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","290704","0.0-4.0-1.6","","<img src=""img/orange-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","59","291705","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"652.8999999985099","","image-keyboard-response","60","292359","0.0-4.0-0.7","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","293360","0.0-4.0-1.7","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","62","294361","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"644.8999999985099","","image-keyboard-response","63","295007","0.0-4.0-0.8","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","64","296008","0.0-4.0-1.8","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","65","297009","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"548.3000000007451","","image-keyboard-response","66","297559","0.0-4.0-0.9","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","67","298560","0.0-4.0-1.9","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","68","299561","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"636.5","","image-keyboard-response","69","300199","0.0-4.0-0.10","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","70","301202","0.0-4.0-1.10","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","71","302203","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"570.9000000022352","","image-keyboard-response","72","302775","0.0-4.0-0.11","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","73","303777","0.0-4.0-1.11","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","74","304777","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"940.1000000014901","","image-keyboard-response","75","305718","0.0-4.0-0.12","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","76","306720","0.0-4.0-1.12","","<img src=""img/orange-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","77","307721","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"853.0999999977648","","image-keyboard-response","78","308574","0.0-4.0-0.13","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","79","309576","0.0-4.0-1.13","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","80","310577","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"796.6999999992549","","image-keyboard-response","81","311374","0.0-4.0-0.14","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","312376","0.0-4.0-1.14","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","83","313377","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"549","","image-keyboard-response","84","313927","0.0-4.0-0.15","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","314928","0.0-4.0-1.15","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","86","315929","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"428.5","","image-keyboard-response","87","316358","0.0-4.0-0.16","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","88","317360","0.0-4.0-1.16","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","89","318360","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","90","319861","0.0-4.0-0.17","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","91","320863","0.0-4.0-1.17","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","92","321863","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"478","","image-keyboard-response","93","322342","0.0-4.0-0.18","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","94","323344","0.0-4.0-1.18","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","95","324344","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"869","","image-keyboard-response","96","325214","0.0-4.0-0.19","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","97","326216","0.0-4.0-1.19","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","98","327217","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"588.6999999992549","","image-keyboard-response","99","327806","0.0-4.0-0.20","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","100","328808","0.0-4.0-1.20","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","101","329808","0.0-4.0-2.20","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"413","","image-keyboard-response","102","330222","0.0-4.0-0.21","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","103","331224","0.0-4.0-1.21","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","104","332224","0.0-4.0-2.21","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","105","333726","0.0-4.0-0.22","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","106","334727","0.0-4.0-1.22","","<img src=""img/orange-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","107","335728","0.0-4.0-2.22","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"406.0999999977648","","image-keyboard-response","108","336134","0.0-4.0-0.23","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","109","337136","0.0-4.0-1.23","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","110","338137","0.0-4.0-2.23","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","111","339638","0.0-4.0-0.24","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","112","340639","0.0-4.0-1.24","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","113","341640","0.0-4.0-2.24","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"477.29999999701977","","image-keyboard-response","114","342118","0.0-4.0-0.25","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","115","343120","0.0-4.0-1.25","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","116","344121","0.0-4.0-2.25","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"668.6000000014901","","image-keyboard-response","117","344790","0.0-4.0-0.26","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","118","345792","0.0-4.0-1.26","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","119","346793","0.0-4.0-2.26","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","120","348294","0.0-4.0-0.27","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","121","349295","0.0-4.0-1.27","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","122","350296","0.0-4.0-2.27","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"429.8999999985099","","image-keyboard-response","123","350727","0.0-4.0-0.28","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","124","351728","0.0-4.0-1.28","","<img src=""img/purple-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","125","352729","0.0-4.0-2.28","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"580.5999999977648","","image-keyboard-response","126","353310","0.0-4.0-0.29","","img/orange.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","127","354312","0.0-4.0-1.29","","<img src=""img/orange-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","128","355312","0.0-4.0-2.29","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"437","","image-keyboard-response","129","355750","0.0-4.0-0.30","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","130","356752","0.0-4.0-1.30","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","131","357753","0.0-4.0-2.30","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","132","359254","0.0-4.0-0.31","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","133","360255","0.0-4.0-1.31","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","134","361256","0.0-4.0-2.31","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"494","","image-keyboard-response","135","361751","0.0-4.0-0.32","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","136","362752","0.0-4.0-1.32","","<img src=""img/purple-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","137","363753","0.0-4.0-2.32","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","138","365254","0.0-4.0-0.33","","img/orange.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","139","366256","0.0-4.0-1.33","","<img src=""img/orange-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","140","367256","0.0-4.0-2.33","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"693.2999999970198","","image-keyboard-response","141","367950","0.0-4.0-0.34","","img/purple.png","32","trial","32","true","0.8,0.2","1:go_a","",""
