"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"5183.075000000827","consent.html","external-html","0","5541","0.0-0.0","","","","","","","","","",""
"62744.05499999921","","instructions","1","68289","0.0-1.0","[{""page_index"":0,""viewing_time"":2248.60500000068},{""page_index"":1,""viewing_time"":53417.65999999916},{""page_index"":2,""viewing_time"":2267.939999997907},{""page_index"":3,""viewing_time"":2112.060000003112},{""page_index"":4,""viewing_time"":969.9099999997998},{""page_index"":5,""viewing_time"":766.1799999987124},{""page_index"":6,""viewing_time"":959.9549999984447}]","","","","","","","","",""
"null","","image-keyboard-response","2","69794","0.0-2.0-0.0","","img/test1.PNG","null","practice","32","false","","","",""
"null","","html-keyboard-response","3","70800","0.0-2.0-1.0","","<img src=""img/test1-neutral.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","71805","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","73307","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","74310","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","75315","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","76818","0.0-2.0-0.2","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","77821","0.0-2.0-1.2","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","78823","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","80327","0.0-2.0-0.3","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","81331","0.0-2.0-1.3","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","82332","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"538.909999999305","","image-keyboard-response","14","82873","0.0-2.0-0.4","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","15","83878","0.0-2.0-1.4","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","16","84883","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"836.2249999991036","","image-keyboard-response","17","85721","0.0-2.0-0.5","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","18","86724","0.0-2.0-1.5","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","87729","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","89231","0.0-2.0-0.6","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","90234","0.0-2.0-1.6","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","22","91236","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","92738","0.0-2.0-0.7","","img/test1.PNG","null","practice","32","false","","","",""
"null","","html-keyboard-response","24","93744","0.0-2.0-1.7","","<img src=""img/test1-neutral.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","94749","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"814.8700000019744","","image-keyboard-response","26","95565","0.0-2.0-0.8","","img/test3.PNG","32","practice","null","false","","","",""
"null","","html-keyboard-response","27","96568","0.0-2.0-1.8","","<img src=""img/test3-neutral.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","28","97572","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
