"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"5915.915000005043","consent.html","external-html","0","5966","0.0-0.0","","","","","","","","","",""
"67615.04000000423","","instructions","1","73584","0.0-1.0","[{""page_index"":0,""viewing_time"":5827.460000000428},{""page_index"":1,""viewing_time"":11415.704999999434},{""page_index"":2,""viewing_time"":6700.864999998885},{""page_index"":3,""viewing_time"":7534.160000002885},{""page_index"":4,""viewing_time"":11377.24000000162},{""page_index"":5,""viewing_time"":6912.969999997586},{""page_index"":6,""viewing_time"":17845.195000001695}]","","","","","","","","",""
"null","","image-keyboard-response","2","75101","0.0-2.0-0.0","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","76115","0.0-2.0-1.0","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","77120","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"538.0799999984447","","image-keyboard-response","5","77659","0.0-2.0-0.1","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","6","78662","0.0-2.0-1.1","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","79670","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","81171","0.0-2.0-0.2","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","82187","0.0-2.0-1.2","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","83194","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"479.32000000582775","","image-keyboard-response","11","83675","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","84683","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","85697","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","87214","0.0-2.0-0.4","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","88215","0.0-2.0-1.4","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","89218","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","90735","0.0-2.0-0.5","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","91761","0.0-2.0-1.5","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","92780","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","94283","0.0-2.0-0.6","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","95287","0.0-2.0-1.6","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
