"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"41118.700000047684","consent.html","external-html","0","41210","0.0-0.0","","","","","","","","","",""
"139143.09999990463","","instructions","1","180353","0.0-1.0","[{""page_index"":0,""viewing_time"":9237.099999904633},{""page_index"":1,""viewing_time"":29688.200000047684},{""page_index"":2,""viewing_time"":9712.100000143051},{""page_index"":3,""viewing_time"":44303.699999809265},{""page_index"":4,""viewing_time"":15800.400000095367},{""page_index"":5,""viewing_time"":11935.700000047684},{""page_index"":6,""viewing_time"":18464.200000047684}]","","","","","","","","",""
"null","","image-keyboard-response","2","181867","0.0-2.0-0.0","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","182885","0.0-2.0-1.0","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","183895","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","185400","0.0-2.0-0.1","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","186412","0.0-2.0-1.1","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","187421","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"465.90000009536743","","image-keyboard-response","8","187888","0.0-2.0-0.2","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","9","188895","0.0-2.0-1.2","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","10","189907","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","191415","0.0-2.0-0.3","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","192426","0.0-2.0-1.3","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","193446","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","194956","0.0-2.0-0.4","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","195958","0.0-2.0-1.4","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","196969","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"355.09999990463257","","image-keyboard-response","17","197326","0.0-2.0-0.5","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","18","198340","0.0-2.0-1.5","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","19","199343","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","200859","0.0-2.0-0.6","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","201863","0.0-2.0-1.6","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
