"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"52548.51500003133","consent.html","external-html","0","52721","0.0-0.0","","","","","","","","","",""
"510084.6349999774","","instructions","1","562842","0.0-1.0","[{""page_index"":0,""viewing_time"":4668.4949999907985},{""page_index"":1,""viewing_time"":54054.30000007618},{""page_index"":2,""viewing_time"":304543.1399999652},{""page_index"":3,""viewing_time"":30340.8000000054},{""page_index"":4,""viewing_time"":84705.74000000488},{""page_index"":5,""viewing_time"":13057.754999957979},{""page_index"":6,""viewing_time"":18713.695000042208}]","","","","","","","","",""
"483.3299999590963","","image-keyboard-response","2","563327","0.0-2.0-0.0","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","3","564330","0.0-2.0-1.0","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","4","565335","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","5","566840","0.0-2.0-0.1","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","6","567842","0.0-2.0-1.1","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","7","568846","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","570352","0.0-2.0-0.2","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","571354","0.0-2.0-1.2","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","572359","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","11","573861","0.0-2.0-0.3","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","12","574863","0.0-2.0-1.3","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","13","575865","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"477.9199999757111","","image-keyboard-response","14","576344","0.0-2.0-0.4","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","15","577345","0.0-2.0-1.4","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","16","578350","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","579853","0.0-2.0-0.5","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","580857","0.0-2.0-1.5","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","581861","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","583365","0.0-2.0-0.6","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","584370","0.0-2.0-1.6","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","22","585374","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","586876","0.0-2.0-0.7","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","24","587879","0.0-2.0-1.7","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","25","588880","0.0-2.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"462.2449999442324","","image-keyboard-response","26","589343","0.0-2.0-0.8","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","27","590349","0.0-2.0-1.8","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","28","591353","0.0-2.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","29","592857","0.0-2.0-0.9","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","30","593860","0.0-2.0-1.9","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","31","594865","0.0-2.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","32","596368","0.0-2.0-0.10","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","33","597373","0.0-2.0-1.10","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","34","598377","0.0-2.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"461.379999993369","","image-keyboard-response","35","598840","0.0-2.0-0.11","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","36","599842","0.0-2.0-1.11","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","37","600844","0.0-2.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"20268.84999999311","","instructions","38","621114","0.0-3.0","[{""page_index"":0,""viewing_time"":20268.625000026077}]","","","","","","","","",""
"666.9649999821559","","image-keyboard-response","39","621783","0.0-4.0-0.0","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","40","622788","0.0-4.0-1.0","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","41","623792","0.0-4.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"774.8099999735132","","image-keyboard-response","42","624568","0.0-4.0-0.1","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","43","625573","0.0-4.0-1.1","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","44","626574","0.0-4.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","45","628077","0.0-4.0-0.2","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","46","629081","0.0-4.0-1.2","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","47","630085","0.0-4.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"466.6800000704825","","image-keyboard-response","48","630552","0.0-4.0-0.3","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","49","631554","0.0-4.0-1.3","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","50","632558","0.0-4.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"561.2399999517947","","image-keyboard-response","51","633120","0.0-4.0-0.4","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","52","634126","0.0-4.0-1.4","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","53","635130","0.0-4.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"397.4550000857562","","image-keyboard-response","54","635528","0.0-4.0-0.5","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","55","636531","0.0-4.0-1.5","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","56","637533","0.0-4.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"393.6300000641495","","image-keyboard-response","57","637927","0.0-4.0-0.6","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","58","638932","0.0-4.0-1.6","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","59","639937","0.0-4.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"510.8000000473112","","image-keyboard-response","60","640448","0.0-4.0-0.7","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","61","641452","0.0-4.0-1.7","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","62","642456","0.0-4.0-2.7","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","63","643959","0.0-4.0-0.8","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","64","644964","0.0-4.0-1.8","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","65","645968","0.0-4.0-2.8","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"431.29999993834645","","image-keyboard-response","66","646400","0.0-4.0-0.9","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","67","647405","0.0-4.0-1.9","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","68","648408","0.0-4.0-2.9","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"582.8050000127405","","image-keyboard-response","69","648992","0.0-4.0-0.10","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","70","649997","0.0-4.0-1.10","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","71","651001","0.0-4.0-2.10","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","72","652505","0.0-4.0-0.11","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","73","653508","0.0-4.0-1.11","","<img src=""img/blue-r.png"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","74","654513","0.0-4.0-2.11","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","75","656016","0.0-4.0-0.12","","img/blue.png","null","trial","null","true","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","76","657021","0.0-4.0-1.12","","<img src=""img/blue-n.png"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","77","658025","0.0-4.0-2.12","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"655.2000000374392","","image-keyboard-response","78","658681","0.0-4.0-0.13","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","79","659693","0.0-4.0-1.13","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","80","660696","0.0-4.0-2.13","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","81","662199","0.0-4.0-0.14","","img/grey.png","null","trial","32","false","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","82","663204","0.0-4.0-1.14","","<img src=""img/grey-n.png"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","83","664208","0.0-4.0-2.14","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"424.97500008903444","","image-keyboard-response","84","664633","0.0-4.0-0.15","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","85","665636","0.0-4.0-1.15","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","86","666640","0.0-4.0-2.15","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"351.29000002052635","","image-keyboard-response","87","666992","0.0-4.0-0.16","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","88","667997","0.0-4.0-1.16","","<img src=""img/blue-r.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","1",""
"null","","html-keyboard-response","89","669000","0.0-4.0-2.16","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"745.1800000853837","","image-keyboard-response","90","669746","0.0-4.0-0.17","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","91","670750","0.0-4.0-1.17","","<img src=""img/grey-n.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","0",""
"null","","html-keyboard-response","92","671754","0.0-4.0-2.17","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"720.4149999888614","","image-keyboard-response","93","672476","0.0-4.0-0.18","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","94","673479","0.0-4.0-1.18","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","95","674482","0.0-4.0-2.18","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"766.084999893792","","image-keyboard-response","96","675249","0.0-4.0-0.19","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
"null","","html-keyboard-response","97","676254","0.0-4.0-1.19","","<img src=""img/grey-r.png"" border=""10"">","null","trial","32","","0.8,0.2","1:go_a","1",""
"null","","html-keyboard-response","98","677259","0.0-4.0-2.19","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"862.5400000018999","","image-keyboard-response","99","678122","0.0-4.0-0.20","","img/blue.png","32","trial","null","false","0.2,0.8","2:nogo_b","",""
"null","","html-keyboard-response","100","679127","0.0-4.0-1.20","","<img src=""img/blue-n.png"" border=""10"">","null","trial","null","","0.2,0.8","2:nogo_b","0",""
"null","","html-keyboard-response","101","680131","0.0-4.0-2.20","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"725.5649999715388","","image-keyboard-response","102","680858","0.0-4.0-0.21","","img/grey.png","32","trial","32","true","0.8,0.2","1:go_a","",""
