"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","view_history","stimulus","key_press","test_part","correct_response","correct","use_rew","which_stim","reward","responses"
"46456.375000067055","consent.html","external-html","0","46630","0.0-0.0","","","","","","","","","",""
"3250171.020000009","","instructions","1","3296804","0.0-1.0","[{""page_index"":0,""viewing_time"":4991.880000103265},{""page_index"":1,""viewing_time"":29245.270000072196},{""page_index"":2,""viewing_time"":33685.459999833256},{""page_index"":3,""viewing_time"":33208.28500017524},{""page_index"":4,""viewing_time"":18575.444999849424},{""page_index"":5,""viewing_time"":10227.300000144169},{""page_index"":6,""viewing_time"":3120236.419999972}]","","","","","","","","",""
"null","","image-keyboard-response","2","3298314","0.0-2.0-0.0","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","3","3299319","0.0-2.0-1.0","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","4","3300322","0.0-2.0-2.0","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"579.5950000174344","","image-keyboard-response","5","3300906","0.0-2.0-0.1","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","6","3301911","0.0-2.0-1.1","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","7","3302968","0.0-2.0-2.1","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","8","3304471","0.0-2.0-0.2","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","9","3305473","0.0-2.0-1.2","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","10","3306475","0.0-2.0-2.2","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"696.5900000650436","","image-keyboard-response","11","3307173","0.0-2.0-0.3","","img/test1.PNG","32","practice","32","true","","","",""
"null","","html-keyboard-response","12","3308176","0.0-2.0-1.3","","<img src=""img/test1-reward.PNG"" border=""10px; grey"">","null","","","","","","",""
"null","","html-keyboard-response","13","3309178","0.0-2.0-2.3","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","14","3310681","0.0-2.0-0.4","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","15","3311685","0.0-2.0-1.4","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","16","3312692","0.0-2.0-2.4","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","17","3314196","0.0-2.0-0.5","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","18","3315200","0.0-2.0-1.5","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","19","3316203","0.0-2.0-2.5","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","20","3317706","0.0-2.0-0.6","","img/test3.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","21","3318708","0.0-2.0-1.6","","<img src=""img/test3-reward.PNG"">","null","","","","","","",""
"null","","html-keyboard-response","22","3319710","0.0-2.0-2.6","","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"null","","image-keyboard-response","23","3321213","0.0-2.0-0.7","","img/test2.PNG","null","practice","null","true","","","",""
"null","","html-keyboard-response","24","3322216","0.0-2.0-1.7","","<img src=""img/test2-reward.PNG"">","null","","","","","","",""
